Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
11/13/23,1029,215.6,225.4,211.6101,223.71,37,-107
11/10/23,1865,210.03,215.38,205.69,214.65,119,-308
11/9/23,1290,219.75,220.8,206.68,209.98,97,-140
11/8/23,1393,223.15,224.15,217.64,222.11,101,-125
11/7/23,1665,219.98,223.12,215.72,222.18,103,-107
11/6/23,1062,223.98,226.32,215,219.27,83,-69
11/3/23,1427,221.15,226.3701,218.4,219.96,184,-123
11/2/23,1398,212.97,219.2,211.45,218.51,122,-190
11/1/23,1700,204.04,205.99,197.85,205.66,173,-273
10/31/23,2128,196.12,202.8,194.07,200.84,124,-407
10/30/23,840,209.28,210.88,194.67,197.36,42,-60
10/27/23,1735,210.6,212.41,205.77,207.3,108,-221
10/26/23,1317,211.32,214.8,204.88,205.76,82,-181
10/25/23,1371,215.88,220.1,212.2,212.42,112,-199
10/24/23,1893,216.5,222.05,214.11,216.52,187,-302
10/23/23,1137,210,216.98,202.51,212.08,63,-176
10/20/23,3447,217.01,218.8606,210.42,211.99,267,-743
10/19/23,4701,225.95,230.61,216.78,220.11,430,-858
10/18/23,1607,252.7,254.63,242.08,242.68,116,-186
10/17/23,1337,250.1,257.183,247.08,254.85,106,-161
10/16/23,958,250.05,255.3999,248.48,253.92,42,-101
10/13/23,1422,258.9,259.6,250.22,251.12,89,-236
10/12/23,1456,262.92,265.41,256.6307,258.87,71,-103
10/11/23,1505,266.2,268.6,260.9,262.99,116,-144
10/10/23,1219,257.75,268.94,257.65,263.62,78,-141
10/9/23,713,255.31,261.36,252.05,259.67,34,-87
10/6/23,1968,253.98,261.65,250.65,260.53,119,-235
10/5/23,1620,260,263.6,256.25,260.05,253,-156
10/4/23,1435,248.14,261.86,247.6,261.16,118,-162
10/3/23,2472,248.61,250.02,244.45,246.53,218,-455
10/2/23,1053,244.81,254.2799,242.62,251.6,72,-122
9/29/23,1557,250,254.77,246.35,250.22,72,-378
9/28/23,1537,240.02,247.55,238.65,246.38,81,-154
9/27/23,1484,244.262,245.33,234.58,240.5,96,-162
9/26/23,1490,242.98,249.55,241.6601,244.12,74,-139
9/25/23,1105,243.38,247.1,238.31,246.99,42,-52
